#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.061   -102.173   -117.985    -20.789    182.422    102.671
      0.200   -102.658    -83.492   -107.183    -11.156    191.201    113.363
      0.300   -103.158    -63.931    -95.239      1.152    200.017    125.528
      0.400   -102.246    -43.512    -81.994     17.090    208.354    139.361
      0.500    -99.495    -22.337    -67.281     37.934    215.158    154.898
      0.600    -94.340     -0.659    -50.953     65.168    218.389    171.677
      0.700    -86.095     20.985    -32.969     99.732    214.495    188.001
      0.800    -74.115     41.650    -13.568    139.870    198.803    200.015
      0.900    -58.198     60.047      6.557    178.464    169.139    202.487
      1.000    -38.989     75.066     26.324    205.726    131.238    192.851
      1.100    -17.767     86.344     44.781    218.702     94.336    176.284
      1.200      4.219     94.235     61.490    221.018     63.476    157.910
      1.300     26.131     99.372     76.412    217.223     39.271    140.524
      1.400     47.512    102.366     89.691    210.409     20.603    125.054
      1.500     68.147    103.704    101.522    202.297      6.150    111.571
      1.600     87.951    103.753    112.094    193.778     -5.172     99.860
      1.700    106.905    102.786    121.569    185.296    -14.162     89.648
      1.800    125.023    101.008    130.086    177.061    -21.398     80.681
      1.900    142.334     98.574    137.757    169.166    -27.292     72.745
      2.000    158.874     95.602    144.678    161.640    -32.143     65.666
      2.100    174.681     92.186    150.926    154.483    -36.172     59.305
      2.200    189.789     88.400    156.569    147.679    -39.544     53.549
      2.300    204.233     84.304    161.662    141.205    -42.381     48.306
      2.400    218.045     79.946    166.252    135.036    -44.781     43.504
      2.500    231.254     75.366    170.381    129.148    -46.816     39.082
      2.600    243.887     70.598    174.085    123.516    -48.547     34.989
      2.700    255.969     65.670    177.394    118.118    -50.018     31.185
      2.800    267.522     60.605    180.335    112.934    -51.268     27.635
      2.900    278.566     55.426    182.932    107.945    -52.328     24.309
      3.000    289.120     50.148    185.207    103.136    -53.223     21.184
      3.100    299.201     44.788    187.178     98.489    -53.973     18.236
      3.200    308.825     39.360    188.862     93.992    -54.595     15.449
      3.300    318.006     33.875    190.275     89.632    -55.105     12.807
      3.400    326.757     28.344    191.430     85.397    -55.513     10.295
      3.500    335.091     22.777    192.340     81.279    -55.831      7.902
      3.600    343.018     17.182    193.016     77.266    -56.068      5.618
      3.700    350.549     11.567    193.468     73.351    -56.230      3.432
      3.800    357.693      5.939    193.706     69.526    -56.325      1.337
      3.900    364.459      0.305    193.740     65.783    -56.357     -0.675
      4.000    370.854     -5.329    193.575     62.117    -56.332     -2.610
      4.100    376.885    -10.959    193.221     58.520    -56.254     -4.474
      4.200    382.561    -16.578    192.684     54.988    -56.125     -6.272
      4.300    387.886    -22.181    191.970     51.515    -55.951     -8.010
      4.400    392.867    -27.766    191.085     48.096    -55.732     -9.690
